,lat,lon,temp
0,40.64749,-73.97237,72.0
1,40.75362,-73.98377,57.0
2,40.80902,-73.9419,76.0
3,40.68514,-73.95976,24.0
4,40.79851,-73.94399,27.0
5,40.74767,-73.975,72.0
6,40.68688,-73.95596,81.0
7,40.76489,-73.98493,39.0
8,40.80178,-73.96723,42.0
9,40.71344,-73.99037,67.0
10,40.80316,-73.96545,56.0
11,40.76076,-73.98867,38.0
12,40.66829,-73.98779,46.0
13,40.79826,-73.96113,73.0
14,40.7353,-74.00525,45.0
15,40.70837,-73.95352,58.0
16,40.69169,-73.97185,75.0
17,40.74192,-73.99501,41.0
18,40.67592,-73.94694,72.0
19,40.79685,-73.94872,39.0
20,40.71842,-73.95718,48.0
21,40.68069,-73.97706,72.0
22,40.67989,-73.97798,55.0
23,40.68001,-73.97865,74.0
24,40.68371,-73.94028,72.0
25,40.65599,-73.97519,47.0
26,40.86754,-73.92639,39.0
27,40.76715,-73.98533,38.0
28,40.86482,-73.92106,59.0
29,40.7292,-73.98542,42.0
30,40.82245,-73.95104,28.0
31,40.81305,-73.95466,58.0
32,40.72219,-73.93762,39.0
33,40.8213,-73.95318,28.0
34,40.6831,-73.95473,78.0
35,40.66869,-73.9878,80.0
36,40.68876,-73.94312,78.0
37,40.70186,-73.92745,48.0
38,40.63702,-73.96327,76.0
39,40.71401,-73.98917,33.0
40,40.7229,-73.98199,80.0
41,40.66278,-73.97966,33.0
42,40.69673,-73.97584,79.0
43,40.79009,-73.97927,41.0
44,40.81175,-73.94478,71.0
45,40.65944,-73.96238,44.0
46,40.74771,-73.9474,53.0
47,40.68111,-73.95591,68.0
48,40.68554,-73.9409,70.0
49,40.69142,-73.97376,74.0
50,40.68043,-73.93934,33.0
51,40.78635,-73.97008,48.0
52,40.7042,-73.9356,68.0
53,40.73506,-73.95392,83.0
54,40.73961,-73.98074,75.0
55,40.70881,-73.9593,87.0
56,40.72004,-73.99104,74.0
57,40.75531,-73.99293,68.0
58,40.72401,-73.93788,76.0
59,40.7221,-73.99775,63.0
60,40.71185,-73.96204,39.0
61,40.74623,-73.9953,15.0
62,40.77065,-73.95269,63.0
63,40.67811,-73.96428,57.0
64,40.69,-73.96788,64.0
65,40.75979,-73.99119,35.0
66,40.67343,-73.98338,44.0
67,40.72649,-73.97904,33.0
68,40.70933,-73.96792,39.0
69,40.72298,-73.98474,48.0
70,40.80164,-73.93922,49.0
71,40.72162,-73.98008,73.0
72,40.76342,-73.98865,64.0
73,40.83139,-73.94095,69.0
74,40.68346,-73.96374,66.0
75,40.72828,-73.98801,51.0
76,40.76865,-73.95058,40.0
77,40.75038,-73.90334,30.0
78,40.6932,-73.97267,35.0
79,40.74138,-74.00197,31.0
80,40.71154,-73.96112,67.0
81,40.82915,-73.95136,80.0
82,40.71851,-73.98892,57.0
83,40.65401,-73.96323,61.0
84,40.7114,-73.98794,76.0
85,40.69723,-73.99268,63.0
86,40.71833,-73.95748,67.0
87,40.72334,-73.9844,59.0
88,40.72912,-73.98057,52.0
89,40.71156,-73.96218,46.0
90,40.70032,-73.9383,73.0
91,40.68233,-73.97261,66.0
92,40.68634,-73.966,68.0
