"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-01",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","38",",,0,","38",",,0","11",",,0","30",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-02",,,,,,,,,"0.53",",,0,1600","17.0",",,0,","55",",,0,","30",",,0","11",",,0","11",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-03",,,,,,,,,"0.08",",,0,1600","4.0",",,0,","51",",,0,","13",",,0","-5",",,0","11",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-04",,,,,,,,,"0.00","T,,0,1600","0.0","T,,0,","51",",,0,","17",",,0","0",",,0","12",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-05",,,,,,,,,"0.52",",,0,1600","13.0",",,0,","56",",,0,","23",",,0","12",",,0","20",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-06",,,,,,,,,"0.00",",,0,1600","0.0",",,0,","53",",,0,","30",",,0","10",",,0","26",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-07",,,,,,,,,"0.00","T,,0,1600","0.0","T,,0,","51",",,0,","30",",,0","10",",,0","27",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-08",,,,,,,,,"1.50",",,0,1600","9.0",",,0,","61",",,0,",,,,,,,,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-09",,,,,,,,,"0.21",",,0,1600","2.0",",,0,","57",",,0,","47",",,0","30",",,0","39",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-10",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","55",",,0,","42",",,0","29",",,0","41",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-11",,,,,,,,,"0.00",",,0,1600","0.0","P,,0,",,,"50",",,0","31",",,0","42",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-12",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,",,,"45",",,0","30",",,0","42",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-13",,,,,,,,,"0.23",",,0,1600","5.0",",,0,","56",",,0,","43",",,0","27",",,0","29",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-14",,,,,,,,,"0.85",",,0,1600","9.0",",,0,","64",",,0,","28",",,0","25",",,0","25",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-15",,,,,,,,,"0.07",",,0,1600","2.0",",,0,","65",",,0,","25",",,0","12",",,0","20",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-16",,,,,,,,,"0.33",",,0,1600","5.0",",,0,","69",",,0,","23",",,0","18",",,0","20",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-17",,,,,,,,,"0.00","T,,0,1600","0.0","T,,0,","66",",,0,","27",",,0","16",",,0","28",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-18",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","65",",,0,","29",",,0","14",",,0","29",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-19",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","63",",,0,","31",",,0","12",",,0","21",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-20",,,,,,,,,"0.00",",,0,1600","0.0",",,0,","62",",,0,","29",",,0","8",",,0","22",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-21",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","60",",,0,","36",",,0","13",",,0","30",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-22",,,,,,,,,"0.00",",,0,1600","0.0",",,0,","60",",,0,","38",",,0","20",",,0","29",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-23",,,,,,,,,"0.00","T,,0,1600","0.0","T,,0,","58",",,0,","29",",,0","17",",,0","25",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-24",,,,,,,,,"0.26",",,0,1600","6.0",",,0,","64",",,0,","25",",,0","5",",,0","13",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-25",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","62",",,0,","27",",,0","2",",,0","27",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-26",,,,,,,,,"0.12",",,0,1600","4.0",",,0,","65",",,0,","34",",,0","2",",,0","11",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-01-27",,,,,,,,,"0.04",",,0,1600",,,,,"12",",,0","-3",",,0","11",",,0,1600",,,,,,,,,,,,
